# RESEARCH-ONLY — NO PUBLICATION OR IMPLEMENTATION AUTHORISED
# NOTE: administrative_source for every row is unverified general geographic knowledge. Postcodes deliberately left PENDING_VERIFICATION rather than stated from memory. Presence of a locality implies GEOGRAPHIC RESEARCH ONLY — never service availability, partner coverage, project evidence or property inventory.
locality,alternative_names,common_misspellings,tamil_name,tanglish_forms,parent_zone,corporation_municipality_panchayat,district,planning_authority,postcode_range,major_corridor,nearby_areas,administrative_source,source_verification_date,buildogram_service_availability,toletboard_inventory,realprop_inventory,existing_buildogram_page,existing_toletboard_page,existing_realprop_page,existing_property_count,partner_coverage,project_evidence,search_demand_status,local_page_evidence_status,owner_confirmation_status,provisional_content_format,final_indexability_status
Korattur,,,கொரட்டூர்,Korattur,Zone 7 (Ambattur),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,Ambattur–Avadi industrial,"Ambattur, Padi","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Anna Nagar West Extension,,,,Anna Nagar West Extension,Zone 7 (Ambattur),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,Ambattur–Avadi industrial,"Mogappair, Ambattur","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Menambedu,,,,Menambedu,Zone 7 (Ambattur),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,Ambattur–Avadi industrial,Ambattur,"GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Thirumullaivoyal,,,திருமுல்லைவாயில்,Thirumullaivoyal,Zone 7 (Ambattur),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,Ambattur–Avadi industrial,"Ambattur, Avadi","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Anna Nagar,,,அண்ணா நகர்,Anna Nagar,Zone 8 (Anna Nagar),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,Central Chennai,"Aminjikarai, Shenoy Nagar","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,/locations/chennai/anna-nagar,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Aminjikarai,,,அமிஞ்சிக்கரை,Aminjikarai,Zone 8 (Anna Nagar),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,Central Chennai,"Anna Nagar, Nungambakkam","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Shenoy Nagar,,,சேனாய் நகர்,Shenoy Nagar,Zone 8 (Anna Nagar),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,Central Chennai,"Anna Nagar, Kilpauk","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Kilpauk,,,கீழ்ப்பாக்கம்,Kilpauk,Zone 8 (Anna Nagar),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,Central Chennai,"Shenoy Nagar, Purasawalkam","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Purasawalkam,,,புரசைவாக்கம்,Purasawalkam,Zone 8 (Anna Nagar),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,Central Chennai,"Kilpauk, Otteri","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Nungambakkam,,,நுங்கம்பாக்கம்,Nungambakkam,Zone 8 (Anna Nagar),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,Central Chennai,"Aminjikarai, Egmore","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Egmore,,,எழும்பூர்,Egmore,Zone 8 (Anna Nagar),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,Central Chennai,"Nungambakkam, Chetpet","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Chetpet,,,சேத்துப்பட்டு,Chetpet,Zone 8 (Anna Nagar),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,Central Chennai,"Egmore, Nungambakkam","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Arumbakkam,,,அரும்பாக்கம்,Arumbakkam,Zone 8 (Anna Nagar),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,Central Chennai,"Anna Nagar, Koyambedu","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Teynampet,,,தேனாம்பேட்டை,Teynampet,Zone 9 (Teynampet),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,Central / prime Chennai,"T Nagar, Alwarpet","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
T Nagar,,,தி.நகர்,T Nagar,Zone 9 (Teynampet),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,Central / prime Chennai,"Teynampet, Mambalam","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,/locations/chennai/t-nagar,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Alwarpet,,,ஆழ்வார்பேட்டை,Alwarpet,Zone 9 (Teynampet),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,Central / prime Chennai,"Teynampet, Mylapore","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Mylapore,,,மயிலாப்பூர்,Mylapore,Zone 9 (Teynampet),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,Central / prime Chennai,"Alwarpet, Mandaveli","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Mandaveli,,,மந்தைவெளி,Mandaveli,Zone 9 (Teynampet),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,Central / prime Chennai,"Mylapore, Adyar","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Royapettah,,,இராயப்பேட்டை,Royapettah,Zone 9 (Teynampet),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,Central / prime Chennai,"Mylapore, Triplicane","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Triplicane,,,திருவல்லிக்கேணி,Triplicane,Zone 9 (Teynampet),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,Central / prime Chennai,"Royapettah, Chepauk","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Nandanam,,,நந்தனம்,Nandanam,Zone 9 (Teynampet),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,Central / prime Chennai,"Teynampet, Saidapet","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Gopalapuram,,,கோபாலபுரம்,Gopalapuram,Zone 9 (Teynampet),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,Central / prime Chennai,"Alwarpet, Royapettah","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Chepauk,,,சேப்பாக்கம்,Chepauk,Zone 9 (Teynampet),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,Central / prime Chennai,"Triplicane, Marina","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Kodambakkam,,,கோடம்பாக்கம்,Kodambakkam,Zone 10 (Kodambakkam),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,West-central Chennai,"Vadapalani, Ashok Nagar","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Vadapalani,,,வடபழனி,Vadapalani,Zone 10 (Kodambakkam),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,West-central Chennai,"Kodambakkam, Saligramam","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Ashok Nagar,,,அசோக் நகர்,Ashok Nagar,Zone 10 (Kodambakkam),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,West-central Chennai,"KK Nagar, Kodambakkam","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
KK Nagar,,,கே.கே. நகர்,KK Nagar,Zone 10 (Kodambakkam),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,West-central Chennai,"Ashok Nagar, Ashok Pillar","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Saligramam,,,சாலிக்கிராமம்,Saligramam,Zone 10 (Kodambakkam),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,West-central Chennai,"Vadapalani, Virugambakkam","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Virugambakkam,,,விருகம்பாக்கம்,Virugambakkam,Zone 10 (Kodambakkam),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,West-central Chennai,"Saligramam, Valasaravakkam","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
West Mambalam,,,மேற்கு மாம்பலம்,West Mambalam,Zone 10 (Kodambakkam),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,West-central Chennai,"T Nagar, Kodambakkam","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Nesapakkam,,,நேசப்பாக்கம்,Nesapakkam,Zone 10 (Kodambakkam),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,West-central Chennai,"KK Nagar, Ashok Nagar","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Koyambedu,,,கோயம்பேடு,Koyambedu,Zone 10 (Kodambakkam),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,West-central Chennai,"Arumbakkam, Vadapalani","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
