# RESEARCH-ONLY — NO PUBLICATION OR IMPLEMENTATION AUTHORISED
segment,parent_category,subcategory,service,user_problem,audience,building_property_type,project_stage,current_domain_owner,existing_url,existing_repo_source,delivery_model,evidence_status,commercial_relevance,search_intent_families,local_applicability,owner_confirmation_required,research_priority
"Survey, soil & foundation",Pre-construction,Geotechnical/Survey,Boundary survey,Encroachment risk,Owner,Any,Pre-construction,Buildogram,PENDING_ARCH_DECISION,data/services.js,OWNER_CONFIRMATION_REQUIRED — equipment/lab ownership vs coordination,SAFETY-SENSITIVE — no area-wide prescriptions permitted,HIGH,"commercial,local",Chennai + metro districts,YES,P1
"Survey, soil & foundation",Pre-construction,Geotechnical/Survey,Topographic survey,Site levels,Owner,Any,Pre-construction,Buildogram,/topographic-survey-chennai,data/services.js,OWNER_CONFIRMATION_REQUIRED — equipment/lab ownership vs coordination,SAFETY-SENSITIVE — no area-wide prescriptions permitted,HIGH,"commercial,local",Chennai + metro districts,YES,P1
"Survey, soil & foundation",Pre-construction,Geotechnical/Survey,Contour survey,Slope/level design,Owner,Any,Pre-construction,Buildogram,/contour-survey-chennai,data/services.js,OWNER_CONFIRMATION_REQUIRED — equipment/lab ownership vs coordination,SAFETY-SENSITIVE — no area-wide prescriptions permitted,HIGH,"commercial,local",Chennai + metro districts,YES,P1
"Survey, soil & foundation",Pre-construction,Geotechnical/Survey,Total station survey,Precise measurement,Owner,Any,Pre-construction,Buildogram,/total-station-survey-chennai,data/services.js,OWNER_CONFIRMATION_REQUIRED — equipment/lab ownership vs coordination,SAFETY-SENSITIVE — no area-wide prescriptions permitted,HIGH,"commercial,local",Chennai + metro districts,YES,P1
"Survey, soil & foundation",Pre-construction,Geotechnical/Survey,DGPS survey,Coordinate accuracy,Owner,Any,Pre-construction,Buildogram,/dgps-survey-chennai,data/services.js,OWNER_CONFIRMATION_REQUIRED — equipment/lab ownership vs coordination,SAFETY-SENSITIVE — no area-wide prescriptions permitted,HIGH,"commercial,local",Chennai + metro districts,YES,P1
"Survey, soil & foundation",Pre-construction,Geotechnical/Survey,Drone survey,Large-site mapping,Owner/industrial,Any,Pre-construction,Buildogram,/drone-survey-chennai,data/services.js,OWNER_CONFIRMATION_REQUIRED — equipment/lab ownership vs coordination,SAFETY-SENSITIVE — no area-wide prescriptions permitted,HIGH,"commercial,local",Chennai + metro districts,YES,P1
"Survey, soil & foundation",Pre-construction,Geotechnical/Survey,Construction layout marking,Setting out,Owner,Any,Pre-construction,Buildogram,/construction-layout-marking-chennai,data/services.js,OWNER_CONFIRMATION_REQUIRED — equipment/lab ownership vs coordination,SAFETY-SENSITIVE — no area-wide prescriptions permitted,HIGH,"commercial,local",Chennai + metro districts,YES,P1
"Survey, soil & foundation",Pre-construction,Geotechnical/Survey,Pile point marking,Pile setting out,Owner,Any,Pre-construction,Buildogram,/pile-point-marking-chennai,data/services.js,OWNER_CONFIRMATION_REQUIRED — equipment/lab ownership vs coordination,SAFETY-SENSITIVE — no area-wide prescriptions permitted,HIGH,"commercial,local",Chennai + metro districts,YES,P1
"Survey, soil & foundation",Pre-construction,Geotechnical/Survey,As-built survey,Record drawings,Owner,Any,Pre-construction,Buildogram,PENDING_ARCH_DECISION,data/services.js,OWNER_CONFIRMATION_REQUIRED — equipment/lab ownership vs coordination,SAFETY-SENSITIVE — no area-wide prescriptions permitted,HIGH,"commercial,local",Chennai + metro districts,YES,P1
"Survey, soil & foundation",Pre-construction,Geotechnical/Survey,Soil testing,Foundation design input,Owner,Any,Pre-construction,Buildogram,/soil-testing-chennai,data/services.js,OWNER_CONFIRMATION_REQUIRED — equipment/lab ownership vs coordination,SAFETY-SENSITIVE — no area-wide prescriptions permitted,HIGH,"commercial,local",Chennai + metro districts,YES,P1
"Survey, soil & foundation",Pre-construction,Geotechnical/Survey,Soil investigation,Geotechnical data,Owner,Any,Pre-construction,Buildogram,/soil-investigation-chennai,data/services.js,OWNER_CONFIRMATION_REQUIRED — equipment/lab ownership vs coordination,SAFETY-SENSITIVE — no area-wide prescriptions permitted,HIGH,"commercial,local",Chennai + metro districts,YES,P1
"Survey, soil & foundation",Pre-construction,Geotechnical/Survey,SBC / bore log testing,Bearing capacity,Owner,Any,Pre-construction,Buildogram,PENDING_ARCH_DECISION,data/services.js,OWNER_CONFIRMATION_REQUIRED — equipment/lab ownership vs coordination,SAFETY-SENSITIVE — no area-wide prescriptions permitted,HIGH,"commercial,local",Chennai + metro districts,YES,P1
"Survey, soil & foundation",Pre-construction,Geotechnical/Survey,Plate load test,Bearing verification,Owner,Any,Pre-construction,Buildogram,/plate-load-test-chennai,data/services.js,OWNER_CONFIRMATION_REQUIRED — equipment/lab ownership vs coordination,SAFETY-SENSITIVE — no area-wide prescriptions permitted,HIGH,"commercial,local",Chennai + metro districts,YES,P1
"Survey, soil & foundation",Pre-construction,Geotechnical/Survey,Pile foundation coordination,Deep foundation need,Owner,Any,Pre-construction,Buildogram,/pile-foundation-contractors-chennai,data/services.js,OWNER_CONFIRMATION_REQUIRED — equipment/lab ownership vs coordination,SAFETY-SENSITIVE — no area-wide prescriptions permitted,HIGH,"commercial,local",Chennai + metro districts,YES,P1
"Survey, soil & foundation",Pre-construction,Geotechnical/Survey,Bored cast-in-situ piling,Piling method,Owner,Any,Pre-construction,Buildogram,/bored-cast-in-situ-piles-chennai,data/services.js,OWNER_CONFIRMATION_REQUIRED — equipment/lab ownership vs coordination,SAFETY-SENSITIVE — no area-wide prescriptions permitted,HIGH,"commercial,local",Chennai + metro districts,YES,P1
"Survey, soil & foundation",Pre-construction,Geotechnical/Survey,DMC piling,Piling method,Owner,Any,Pre-construction,Buildogram,/dmc-piling-contractors-chennai,data/services.js,OWNER_CONFIRMATION_REQUIRED — equipment/lab ownership vs coordination,SAFETY-SENSITIVE — no area-wide prescriptions permitted,HIGH,"commercial,local",Chennai + metro districts,YES,P1
"Survey, soil & foundation",Pre-construction,Geotechnical/Survey,Micro piling,Constrained site,Owner,Any,Pre-construction,Buildogram,/micro-piling-contractors-chennai,data/services.js,OWNER_CONFIRMATION_REQUIRED — equipment/lab ownership vs coordination,SAFETY-SENSITIVE — no area-wide prescriptions permitted,HIGH,"commercial,local",Chennai + metro districts,YES,P1
"Survey, soil & foundation",Pre-construction,Geotechnical/Survey,Pile load test,Capacity proof,Owner,Any,Pre-construction,Buildogram,/pile-load-test-chennai,data/services.js,OWNER_CONFIRMATION_REQUIRED — equipment/lab ownership vs coordination,SAFETY-SENSITIVE — no area-wide prescriptions permitted,HIGH,"commercial,local",Chennai + metro districts,YES,P1
"Survey, soil & foundation",Pre-construction,Geotechnical/Survey,Pile integrity test,Pile quality,Owner,Any,Pre-construction,Buildogram,/pile-integrity-test-chennai,data/services.js,OWNER_CONFIRMATION_REQUIRED — equipment/lab ownership vs coordination,SAFETY-SENSITIVE — no area-wide prescriptions permitted,HIGH,"commercial,local",Chennai + metro districts,YES,P1
"Survey, soil & foundation",Pre-construction,Geotechnical/Survey,Dynamic pile load test,Rapid capacity test,Owner,Any,Pre-construction,Buildogram,/dynamic-pile-load-test-chennai,data/services.js,OWNER_CONFIRMATION_REQUIRED — equipment/lab ownership vs coordination,SAFETY-SENSITIVE — no area-wide prescriptions permitted,HIGH,"commercial,local",Chennai + metro districts,YES,P1
"Renovation, interiors & maintenance",Improve,Renovation,Home renovation,Ageing home,Homeowner,Existing,Existing building,Buildogram,/renovation-contractors-chennai,data/services.js,OWNER_CONFIRMATION_REQUIRED,Repo partial,HIGH,"commercial,local",Chennai-wide,YES,P2
"Renovation, interiors & maintenance",Improve,Renovation,House renovation,Layout change,Homeowner,Existing,Existing building,Buildogram,/renovation-contractors-chennai,data/services.js,OWNER_CONFIRMATION_REQUIRED,Repo partial,HIGH,"commercial,local",Chennai-wide,YES,P2
"Renovation, interiors & maintenance",Improve,Renovation,Apartment renovation,Flat upgrade,Homeowner,Apartment,Existing building,Buildogram,/renovation-contractors-chennai,data/services.js,OWNER_CONFIRMATION_REQUIRED,Repo partial,HIGH,"commercial,local",Chennai-wide,YES,P2
"Renovation, interiors & maintenance",Improve,Renovation,Villa renovation,Premium upgrade,Homeowner,Villa,Existing building,Buildogram,/renovation-contractors-chennai,data/services.js,OWNER_CONFIRMATION_REQUIRED,Repo partial,HIGH,"commercial,local",Chennai-wide,YES,P2
"Renovation, interiors & maintenance",Improve,Renovation,Office renovation,Workspace change,Business,Office,Existing building,Buildogram,/renovation-contractors-chennai,data/services.js,OWNER_CONFIRMATION_REQUIRED,Repo partial,HIGH,"commercial,local",Chennai-wide,YES,P2
"Renovation, interiors & maintenance",Improve,Renovation,Commercial renovation,Retail refresh,Business,Commercial,Existing building,Buildogram,/renovation-contractors-chennai,data/services.js,OWNER_CONFIRMATION_REQUIRED,Repo partial,HIGH,"commercial,local",Chennai-wide,YES,P2
"Renovation, interiors & maintenance",Improve,Renovation,Old house renovation,Structural + finish,Homeowner,Existing,Existing building,Buildogram,/renovation-contractors-chennai,data/services.js,OWNER_CONFIRMATION_REQUIRED,Repo partial,HIGH,"commercial,local",Chennai-wide,YES,P2
"Renovation, interiors & maintenance",Improve,Renovation,Structural renovation,Load changes,Homeowner,Existing,Existing building,Buildogram,/renovation-contractors-chennai,data/services.js,OWNER_CONFIRMATION_REQUIRED,Repo partial,HIGH,"commercial,local",Chennai-wide,YES,P2
"Renovation, interiors & maintenance",Improve,Renovation,Kitchen renovation,Kitchen upgrade,Homeowner,Residential,Existing building,Buildogram,/renovation-contractors-chennai,data/services.js,OWNER_CONFIRMATION_REQUIRED,Repo partial,HIGH,"commercial,local",Chennai-wide,YES,P2
"Renovation, interiors & maintenance",Improve,Renovation,Bathroom renovation,Bath upgrade,Homeowner,Residential,Existing building,Buildogram,/renovation-contractors-chennai,data/services.js,OWNER_CONFIRMATION_REQUIRED,Repo partial,HIGH,"commercial,local",Chennai-wide,YES,P2
"Renovation, interiors & maintenance",Improve,Renovation,Interior design coordination,Interior fitout,Homeowner,Residential,Existing building,Buildogram,PENDING_ARCH_DECISION,data/services.js,OWNER_CONFIRMATION_REQUIRED,Repo partial,HIGH,"commercial,local",Chennai-wide,YES,P2
"Renovation, interiors & maintenance",Improve,Renovation,Modular kitchen coordination,Kitchen fitout,Homeowner,Residential,Existing building,Buildogram,PENDING_ARCH_DECISION,data/services.js,OWNER_CONFIRMATION_REQUIRED,Repo partial,HIGH,"commercial,local",Chennai-wide,YES,P2
"Renovation, interiors & maintenance",Improve,Renovation,False ceiling / painting coordination,Finishes,Homeowner,Residential,Existing building,Buildogram,PENDING_ARCH_DECISION,data/services.js,OWNER_CONFIRMATION_REQUIRED,Repo partial,HIGH,"commercial,local",Chennai-wide,YES,P2
"Renovation, interiors & maintenance",Improve,Renovation,Waterproofing coordination,Leak prevention,Homeowner,Any,Existing building,Buildogram,PENDING_ARCH_DECISION,data/services.js,OWNER_CONFIRMATION_REQUIRED,Repo partial,HIGH,"commercial,local",Chennai-wide,YES,P2
"Renovation, interiors & maintenance",Improve,Renovation,Terrace waterproofing,Terrace leaks,Homeowner,Any,Existing building,Buildogram,PENDING_ARCH_DECISION,data/services.js,OWNER_CONFIRMATION_REQUIRED,Repo partial,HIGH,"commercial,local",Chennai-wide,YES,P2
"Renovation, interiors & maintenance",Improve,Renovation,Bathroom waterproofing,Bath leaks,Homeowner,Any,Existing building,Buildogram,PENDING_ARCH_DECISION,data/services.js,OWNER_CONFIRMATION_REQUIRED,Repo partial,HIGH,"commercial,local",Chennai-wide,YES,P2
"Renovation, interiors & maintenance",Improve,Renovation,Building maintenance,Ongoing upkeep,Owner/association,Any,Existing building,Buildogram,PENDING_ARCH_DECISION,data/services.js,OWNER_CONFIRMATION_REQUIRED,Repo partial,HIGH,"commercial,local",Chennai-wide,YES,P2
"Renovation, interiors & maintenance",Improve,Renovation,Facade repair,Facade distress,Association,Any,Existing building,Buildogram,PENDING_ARCH_DECISION,data/services.js,OWNER_CONFIRMATION_REQUIRED,Repo partial,HIGH,"commercial,local",Chennai-wide,YES,P2
"Renovation, interiors & maintenance",Improve,Renovation,Rent-ready property improvement,Pre-tenancy works,Landlord,Any — CROSS-DOMAIN Tolet Board,Existing building,Buildogram,PENDING_ARCH_DECISION,data/services.js,OWNER_CONFIRMATION_REQUIRED,Repo partial,HIGH,"commercial,local",Chennai-wide,YES,P2
"Renovation, interiors & maintenance",Improve,Renovation,Pre-sale property renovation,Pre-sale value,Seller,Any — CROSS-DOMAIN Realprop,Existing building,Buildogram,/renovation-contractors-chennai,data/services.js,OWNER_CONFIRMATION_REQUIRED,Repo partial,HIGH,"commercial,local",Chennai-wide,YES,P2
"Renovation, interiors & maintenance",Improve,Renovation,Post-purchase renovation,Newly bought property,Buyer,Any — CROSS-DOMAIN Realprop,Existing building,Buildogram,/renovation-contractors-chennai,data/services.js,OWNER_CONFIRMATION_REQUIRED,Repo partial,HIGH,"commercial,local",Chennai-wide,YES,P2
Specialist construction & systems,Specialist,Systems,PEB building,Industrial envelope,Industrialist,Any,Execution,Buildogram,/peb-building-contractors-chennai,data/services.js / partners routes,COORDINATION / DIRECTORY — CONFIRM per service,Unconfirmed,MEDIUM,"commercial,local",Chennai-wide,YES — must state referral vs delivery,P3
Specialist construction & systems,Specialist,Systems,Steel construction,Steel structure,Industrialist,Any,Execution,Buildogram,/steel-construction-chennai,data/services.js / partners routes,COORDINATION / DIRECTORY — CONFIRM per service,Unconfirmed,MEDIUM,"commercial,local",Chennai-wide,YES — must state referral vs delivery,P3
Specialist construction & systems,Specialist,Systems,Steel fabrication vetting,Fabricator quality,Industrialist,Any,Execution,Buildogram,PENDING_PAGE — 301s to steel-construction,data/services.js / partners routes,COORDINATION / DIRECTORY — CONFIRM per service,Unconfirmed,MEDIUM,"commercial,local",Chennai-wide,YES — must state referral vs delivery,P3
Specialist construction & systems,Specialist,Systems,Industrial shed,Shed build,Industrialist,Any,Execution,Buildogram,/industrial-shed-construction-chennai,data/services.js / partners routes,COORDINATION / DIRECTORY — CONFIRM per service,Unconfirmed,MEDIUM,"commercial,local",Chennai-wide,YES — must state referral vs delivery,P3
Specialist construction & systems,Specialist,Systems,Warehouse shed,Logistics shed,Industrialist,Any,Execution,Buildogram,PENDING_PAGE — 301s to industrial-shed,data/services.js / partners routes,COORDINATION / DIRECTORY — CONFIRM per service,Unconfirmed,MEDIUM,"commercial,local",Chennai-wide,YES — must state referral vs delivery,P3
Specialist construction & systems,Specialist,Systems,Roofing systems,Roof selection,Owner,Any,Execution,Buildogram,PENDING_ARCH_DECISION,data/services.js / partners routes,COORDINATION / DIRECTORY — CONFIRM per service,Unconfirmed,MEDIUM,"commercial,local",Chennai-wide,YES — must state referral vs delivery,P3
Specialist construction & systems,Specialist,Systems,Structural glazing,Facade glazing,Business,Any,Execution,Buildogram,PENDING_ARCH_DECISION,data/services.js / partners routes,COORDINATION / DIRECTORY — CONFIRM per service,Unconfirmed,MEDIUM,"commercial,local",Chennai-wide,YES — must state referral vs delivery,P3
Specialist construction & systems,Specialist,Systems,UPVC / aluminium windows,Window selection,Homeowner,Any,Execution,Buildogram,PENDING_ARCH_DECISION,data/services.js / partners routes,COORDINATION / DIRECTORY — CONFIRM per service,Unconfirmed,MEDIUM,"commercial,local",Chennai-wide,YES — must state referral vs delivery,P3
Specialist construction & systems,Specialist,Systems,Lift / elevator coordination,Vertical transport,Owner,Any,Execution,Buildogram,/partners/elevators,data/services.js / partners routes,COORDINATION / DIRECTORY — CONFIRM per service,Unconfirmed,MEDIUM,"commercial,local",Chennai-wide,YES — must state referral vs delivery,P3
Specialist construction & systems,Specialist,Systems,Solar installation coordination,Energy cost,Owner,Any,Execution,Buildogram,/partners/solar,data/services.js / partners routes,COORDINATION / DIRECTORY — CONFIRM per service,Unconfirmed,MEDIUM,"commercial,local",Chennai-wide,YES — must state referral vs delivery,P3
Specialist construction & systems,Specialist,Systems,Home automation coordination,Smart home,Homeowner,Any,Execution,Buildogram,PENDING_ARCH_DECISION,data/services.js / partners routes,COORDINATION / DIRECTORY — CONFIRM per service,Unconfirmed,MEDIUM,"commercial,local",Chennai-wide,YES — must state referral vs delivery,P3
Specialist construction & systems,Specialist,Systems,CCTV / security coordination,Security,Owner,Any,Execution,Buildogram,PENDING_ARCH_DECISION,data/services.js / partners routes,COORDINATION / DIRECTORY — CONFIRM per service,Unconfirmed,MEDIUM,"commercial,local",Chennai-wide,YES — must state referral vs delivery,P3
Specialist construction & systems,Specialist,Systems,Fire-fighting system coordination,Code compliance,Business,Any,Execution,Buildogram,PENDING_ARCH_DECISION,data/services.js / partners routes,COORDINATION / DIRECTORY — CONFIRM per service,Unconfirmed,MEDIUM,"commercial,local",Chennai-wide,YES — must state referral vs delivery,P3
Specialist construction & systems,Specialist,Systems,HVAC coordination,Climate systems,Business,Any,Execution,Buildogram,PENDING_ARCH_DECISION,data/services.js / partners routes,COORDINATION / DIRECTORY — CONFIRM per service,Unconfirmed,MEDIUM,"commercial,local",Chennai-wide,YES — must state referral vs delivery,P3
Specialist construction & systems,Specialist,Systems,Electrical contracting coordination,Electrical works,Owner,Any,Execution,Buildogram,PENDING_ARCH_DECISION,data/services.js / partners routes,COORDINATION / DIRECTORY — CONFIRM per service,Unconfirmed,MEDIUM,"commercial,local",Chennai-wide,YES — must state referral vs delivery,P3
Specialist construction & systems,Specialist,Systems,Plumbing contracting coordination,Plumbing works,Owner,Any,Execution,Buildogram,PENDING_ARCH_DECISION,data/services.js / partners routes,COORDINATION / DIRECTORY — CONFIRM per service,Unconfirmed,MEDIUM,"commercial,local",Chennai-wide,YES — must state referral vs delivery,P3
Specialist construction & systems,Specialist,Systems,STP / water treatment coordination,Wastewater,Association/industry,Any,Execution,Buildogram,PENDING_ARCH_DECISION,data/services.js / partners routes,COORDINATION / DIRECTORY — CONFIRM per service,Unconfirmed,MEDIUM,"commercial,local",Chennai-wide,YES — must state referral vs delivery,P3
Specialist construction & systems,Specialist,Systems,Rainwater harvesting,Regulatory + water,Owner,Any,Execution,Buildogram,PENDING_ARCH_DECISION,data/services.js / partners routes,COORDINATION / DIRECTORY — CONFIRM per service,Unconfirmed,MEDIUM,"commercial,local",Chennai-wide,YES — must state referral vs delivery,P3
Specialist construction & systems,Specialist,Systems,Compound wall construction,Boundary works,Owner,Any,Execution,Buildogram,PENDING_ARCH_DECISION,data/services.js / partners routes,COORDINATION / DIRECTORY — CONFIRM per service,Unconfirmed,MEDIUM,"commercial,local",Chennai-wide,YES — must state referral vs delivery,P3
Specialist construction & systems,Specialist,Systems,Demolition coordination,Teardown,Owner,Any,Execution,Buildogram,PENDING_ARCH_DECISION,data/services.js / partners routes,COORDINATION / DIRECTORY — CONFIRM per service,Unconfirmed,MEDIUM,"commercial,local",Chennai-wide,YES — must state referral vs delivery,P3
Specialist construction & systems,Specialist,Systems,Landscaping coordination,External works,Owner,Any,Execution,Buildogram,PENDING_ARCH_DECISION,data/services.js / partners routes,COORDINATION / DIRECTORY — CONFIRM per service,Unconfirmed,MEDIUM,"commercial,local",Chennai-wide,YES — must state referral vs delivery,P3
Professional discovery,Directory,Listings,Builders directory,Find builder,Owner/buyer,Any,Any,Buildogram,/partners/builders,DB partners table,DIRECTORY / DISCOVERY — no screening claim permitted until procedure published,Listing data quality unverified (demo-* guarded),MEDIUM,"commercial,local,navigational",Chennai-wide,YES — verification procedure,P2
Professional discovery,Directory,Listings,Contractors directory,Find contractor,Owner/buyer,Any,Any,Buildogram,/partners/contractors,DB partners table,DIRECTORY / DISCOVERY — no screening claim permitted until procedure published,Listing data quality unverified (demo-* guarded),MEDIUM,"commercial,local,navigational",Chennai-wide,YES — verification procedure,P2
Professional discovery,Directory,Listings,Architects directory,Find architect,Owner/buyer,Any,Any,Buildogram,/partners/architects,DB partners table,DIRECTORY / DISCOVERY — no screening claim permitted until procedure published,Listing data quality unverified (demo-* guarded),MEDIUM,"commercial,local,navigational",Chennai-wide,YES — verification procedure,P2
Professional discovery,Directory,Listings,Structural engineers directory,Find SE,Owner/buyer,Any,Any,Buildogram,/partners/directory,DB partners table,DIRECTORY / DISCOVERY — no screening claim permitted until procedure published,Listing data quality unverified (demo-* guarded),MEDIUM,"commercial,local,navigational",Chennai-wide,YES — verification procedure,P2
Professional discovery,Directory,Listings,Surveyors directory,Find surveyor,Owner/buyer,Any,Any,Buildogram,/partners/directory,DB partners table,DIRECTORY / DISCOVERY — no screening claim permitted until procedure published,Listing data quality unverified (demo-* guarded),MEDIUM,"commercial,local,navigational",Chennai-wide,YES — verification procedure,P2
Professional discovery,Directory,Listings,NDT labs directory,Find lab,Owner/buyer,Any,Any,Buildogram,/partners/directory,DB partners table,DIRECTORY / DISCOVERY — no screening claim permitted until procedure published,Listing data quality unverified (demo-* guarded),MEDIUM,"commercial,local,navigational",Chennai-wide,YES — verification procedure,P2
Professional discovery,Directory,Listings,Piling contractors directory,Find piling,Owner/buyer,Any,Any,Buildogram,/partners/directory,DB partners table,DIRECTORY / DISCOVERY — no screening claim permitted until procedure published,Listing data quality unverified (demo-* guarded),MEDIUM,"commercial,local,navigational",Chennai-wide,YES — verification procedure,P2
Professional discovery,Directory,Listings,Material suppliers directory,Find supplier,Owner/buyer,Any,Any,Buildogram,/partners/suppliers,DB partners table,DIRECTORY / DISCOVERY — no screening claim permitted until procedure published,Listing data quality unverified (demo-* guarded),MEDIUM,"commercial,local,navigational",Chennai-wide,YES — verification procedure,P2
Professional discovery,Directory,Listings,Interior designers directory,Find designer,Owner/buyer,Any,Any,Buildogram,/partners/interiors,DB partners table,DIRECTORY / DISCOVERY — no screening claim permitted until procedure published,Listing data quality unverified (demo-* guarded),MEDIUM,"commercial,local,navigational",Chennai-wide,YES — verification procedure,P2
Professional discovery,Directory,Listings,Waterproofing vendors directory,Find vendor,Owner/buyer,Any,Any,Buildogram,/partners/waterproofing,DB partners table,DIRECTORY / DISCOVERY — no screening claim permitted until procedure published,Listing data quality unverified (demo-* guarded),MEDIUM,"commercial,local,navigational",Chennai-wide,YES — verification procedure,P2
Professional discovery,Directory,Listings,Solar vendors directory,Find solar,Owner/buyer,Any,Any,Buildogram,/partners/solar,DB partners table,DIRECTORY / DISCOVERY — no screening claim permitted until procedure published,Listing data quality unverified (demo-* guarded),MEDIUM,"commercial,local,navigational",Chennai-wide,YES — verification procedure,P2
Professional discovery,Directory,Listings,Elevator vendors directory,Find elevator,Owner/buyer,Any,Any,Buildogram,/partners/elevators,DB partners table,DIRECTORY / DISCOVERY — no screening claim permitted until procedure published,Listing data quality unverified (demo-* guarded),MEDIUM,"commercial,local,navigational",Chennai-wide,YES — verification procedure,P2
Tools & calculators,Self-serve,Tool,Construction cost estimator,Quick budget,Owner/buyer,Any,Any,Buildogram,/cost-estimator,app routes,Direct (software),Live tools exist,HIGH — top-of-funnel + AEO asset,"informational,tool",Chennai-agnostic + Chennai-tuned,NO (tool exists) / YES for outputs accuracy,P1
Tools & calculators,Self-serve,Tool,AI construction cost estimator,Quick budget,Owner/buyer,Any,Any,Buildogram,/ai-construction-cost-estimator,app routes,Direct (software),Live tools exist,HIGH — top-of-funnel + AEO asset,"informational,tool",Chennai-agnostic + Chennai-tuned,NO (tool exists) / YES for outputs accuracy,P1
Tools & calculators,Self-serve,Tool,BOQ calculator,Quantity/cost calc,Owner/buyer,Any,Any,Buildogram,/boq-calculator,app routes,Direct (software),Live tools exist,HIGH — top-of-funnel + AEO asset,"informational,tool",Chennai-agnostic + Chennai-tuned,NO (tool exists) / YES for outputs accuracy,P1
Tools & calculators,Self-serve,Tool,AI BOQ checker,BOQ gaps,Owner/buyer,Any,Any,Buildogram,/ai-boq-checker,app routes,Direct (software),Live tools exist,HIGH — top-of-funnel + AEO asset,"informational,tool",Chennai-agnostic + Chennai-tuned,NO (tool exists) / YES for outputs accuracy,P1
Tools & calculators,Self-serve,Tool,AI contractor quote analyzer,Quote comparison,Owner/buyer,Any,Any,Buildogram,/ai-contractor-quote-analyzer,app routes,Direct (software),Live tools exist,HIGH — top-of-funnel + AEO asset,"informational,tool",Chennai-agnostic + Chennai-tuned,NO (tool exists) / YES for outputs accuracy,P1
Tools & calculators,Self-serve,Tool,AI material estimator,Material quantity,Owner/buyer,Any,Any,Buildogram,/ai-material-estimator,app routes,Direct (software),Live tools exist,HIGH — top-of-funnel + AEO asset,"informational,tool",Chennai-agnostic + Chennai-tuned,NO (tool exists) / YES for outputs accuracy,P1
Tools & calculators,Self-serve,Tool,AI floor plan creator,Concept layout,Owner/buyer,Any,Any,Buildogram,/ai-floor-plan-creator,app routes,Direct (software),Live tools exist,HIGH — top-of-funnel + AEO asset,"informational,tool",Chennai-agnostic + Chennai-tuned,NO (tool exists) / YES for outputs accuracy,P1
Tools & calculators,Self-serve,Tool,AI structural audit intake,Audit scoping,Owner/buyer,Any,Any,Buildogram,/ai-structural-audit-intake,app routes,Direct (software),Live tools exist,HIGH — top-of-funnel + AEO asset,"informational,tool",Chennai-agnostic + Chennai-tuned,NO (tool exists) / YES for outputs accuracy,P1
Tools & calculators,Self-serve,Tool,AI survey requirement builder,Survey scoping,Owner/buyer,Any,Any,Buildogram,/ai-survey-requirement-builder,app routes,Direct (software),Live tools exist,HIGH — top-of-funnel + AEO asset,"informational,tool",Chennai-agnostic + Chennai-tuned,NO (tool exists) / YES for outputs accuracy,P1
Tools & calculators,Self-serve,Tool,AI soil test requirement builder,Soil scoping,Owner/buyer,Any,Any,Buildogram,/ai-soil-test-requirement-builder,app routes,Direct (software),Live tools exist,HIGH — top-of-funnel + AEO asset,"informational,tool",Chennai-agnostic + Chennai-tuned,NO (tool exists) / YES for outputs accuracy,P1
Tools & calculators,Self-serve,Tool,AI pile foundation BOQ checker,Pile BOQ,Owner/buyer,Any,Any,Buildogram,/ai-pile-foundation-boq-checker,app routes,Direct (software),Live tools exist,HIGH — top-of-funnel + AEO asset,"informational,tool",Chennai-agnostic + Chennai-tuned,NO (tool exists) / YES for outputs accuracy,P1
Tools & calculators,Self-serve,Tool,AI property passport assistant,Documentation,Owner/buyer,Any,Any,Buildogram,/ai-property-passport-assistant,app routes,Direct (software),Live tools exist,HIGH — top-of-funnel + AEO asset,"informational,tool",Chennai-agnostic + Chennai-tuned,NO (tool exists) / YES for outputs accuracy,P1
Property lifecycle (Buildogram),Property,Lifecycle,Property ecosystem hub,Where do I start?,Buyer/tenant/landlord/seller,Any,Property transaction adjacency,Buildogram,/PROPOSED — property-ecosystem hub,proposed / app route,ADVISORY + CROSS-DOMAIN REFERRAL,Hub does not exist yet,VERY HIGH — connects 3 domains,"commercial,informational",Chennai-wide,YES — confirm which services genuinely offered,P1
Property lifecycle (Buildogram),Property,Lifecycle,Pre-purchase inspection,Buying risk,Buyer/tenant/landlord/seller,Any,Property transaction adjacency,Buildogram,PENDING_ARCH_DECISION — cross-domain Realprop,proposed / app route,ADVISORY + CROSS-DOMAIN REFERRAL,Hub does not exist yet,VERY HIGH — connects 3 domains,"commercial,informational",Chennai-wide,YES — confirm which services genuinely offered,P1
Property lifecycle (Buildogram),Property,Lifecycle,Pre-lease condition assessment,Leasing risk,Buyer/tenant/landlord/seller,Any,Property transaction adjacency,Buildogram,PENDING_ARCH_DECISION — cross-domain Tolet Board,proposed / app route,ADVISORY + CROSS-DOMAIN REFERRAL,Hub does not exist yet,VERY HIGH — connects 3 domains,"commercial,informational",Chennai-wide,YES — confirm which services genuinely offered,P1
Property lifecycle (Buildogram),Property,Lifecycle,Renovation estimation for buyers,Post-purchase cost,Buyer/tenant/landlord/seller,Any,Property transaction adjacency,Buildogram,PENDING_ARCH_DECISION,proposed / app route,ADVISORY + CROSS-DOMAIN REFERRAL,Hub does not exist yet,VERY HIGH — connects 3 domains,"commercial,informational",Chennai-wide,YES — confirm which services genuinely offered,P1
