# RESEARCH-ONLY — NO PUBLICATION OR IMPLEMENTATION AUTHORISED
# All 161 localities enumerated with the 10 modifier forms to test. EVERY classification is INSUFFICIENT EVIDENCE — no search-behaviour data could be obtained here. Populate after GSC connection + autocomplete capture.
locality,parent_zone_or_body,corridor,construction_search_identity,property_rent_search_identity,property_sale_search_identity,material_search_identity,professional_service_search_identity,modifier_forms_to_test,evidence_source,classification_basis,status
Tiruvottiyur,Zone 1 (Tiruvottiyur),North Chennai industrial,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Gopalapuram,Zone 9 (Teynampet),Central / prime Chennai,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Chepauk,Zone 9 (Teynampet),Central / prime Chennai,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Kodambakkam,Zone 10 (Kodambakkam),West-central Chennai,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Vadapalani,Zone 10 (Kodambakkam),West-central Chennai,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Ashok Nagar,Zone 10 (Kodambakkam),West-central Chennai,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
KK Nagar,Zone 10 (Kodambakkam),West-central Chennai,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Saligramam,Zone 10 (Kodambakkam),West-central Chennai,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Virugambakkam,Zone 10 (Kodambakkam),West-central Chennai,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
West Mambalam,Zone 10 (Kodambakkam),West-central Chennai,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Nesapakkam,Zone 10 (Kodambakkam),West-central Chennai,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Koyambedu,Zone 10 (Kodambakkam),West-central Chennai,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Valasaravakkam,Zone 11 (Valasaravakkam),Porur corridor,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Porur,Zone 11 (Valasaravakkam),Porur corridor,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Ramapuram,Zone 11 (Valasaravakkam),Porur corridor,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Manapakkam,Zone 11 (Valasaravakkam),Porur corridor,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Alwarthirunagar,Zone 11 (Valasaravakkam),Porur corridor,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Iyyappanthangal,Zone 11 (Valasaravakkam),Porur corridor,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Mugalivakkam,Zone 11 (Valasaravakkam),Porur corridor,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Karambakkam,Zone 11 (Valasaravakkam),Porur corridor,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Alandur,Zone 12 (Alandur),GST Road corridor,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Guindy,Zone 12 (Alandur),GST Road corridor,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
St Thomas Mount,Zone 12 (Alandur),GST Road corridor,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Adambakkam,Zone 12 (Alandur),GST Road corridor,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Nanganallur,Zone 12 (Alandur),GST Road corridor,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Saidapet,Zone 12 (Alandur),GST Road corridor,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Ekkatuthangal,Zone 12 (Alandur),GST Road corridor,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Palavanthangal,Zone 12 (Alandur),GST Road corridor,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Meenambakkam,Zone 12 (Alandur),GST Road corridor,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Adyar,Zone 13 (Adyar),South Chennai,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Besant Nagar,Zone 13 (Adyar),South Chennai,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Thiruvanmiyur,Zone 13 (Adyar),South Chennai,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Kotturpuram,Zone 13 (Adyar),South Chennai,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Velachery,Zone 13 (Adyar),South Chennai,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Madipakkam,Zone 13 (Adyar),South Chennai,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Ullagaram,Zone 13 (Adyar),South Chennai,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Puzhuthivakkam,Zone 13 (Adyar),South Chennai,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Thiruvalluvar Nagar,Zone 13 (Adyar),South Chennai,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Perungudi,Zone 14 (Perungudi),OMR / ECR corridor,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Thoraipakkam,Zone 14 (Perungudi),OMR / ECR corridor,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Kottivakkam,Zone 14 (Perungudi),OMR / ECR corridor,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Palavakkam,Zone 14 (Perungudi),OMR / ECR corridor,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Neelankarai,Zone 14 (Perungudi),OMR / ECR corridor,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Injambakkam,Zone 14 (Perungudi),OMR / ECR corridor,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Pallikaranai,Zone 14 (Perungudi),OMR / ECR corridor,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Medavakkam,Zone 14 (Perungudi),OMR / ECR corridor,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Nanmangalam,Zone 14 (Perungudi),OMR / ECR corridor,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Sholinganallur,Zone 15 (Sholinganallur),OMR corridor,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Perumbakkam,Zone 15 (Sholinganallur),OMR corridor,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Semmancheri,Zone 15 (Sholinganallur),OMR corridor,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Karapakkam,Zone 15 (Sholinganallur),OMR corridor,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Uthandi,Zone 15 (Sholinganallur),OMR corridor,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Okkiyam Thoraipakkam,Zone 15 (Sholinganallur),OMR corridor,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Avadi,Outside GCC / merged body — VERIFY,Ambattur–Avadi,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
