# RESEARCH-ONLY — NO PUBLICATION OR IMPLEMENTATION AUTHORISED
# Every one of the 183 rows individually classified. 'Evidence in operating workflow' is NOT_OBSERVED for all rows — no operational data was available. Modifiers, customer problems and project stages were NOT counted as services.
service,segment,row_classification,evidence_in_repository,evidence_in_operating_workflow,owner_confirmation,relevant_domain,commercial_eligibility,informational_eligibility,schema_eligibility,page_eligibility,consolidation_parent,action
Land survey,"Survey, soil & foundation",Unsupported until owner confirms delivery model,YES — /land-survey-chennai,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Article/FAQ only,Existing page — improve/consolidate,"Survey, soil & foundation",REMOVE FROM COMMERCIAL PLANNING
Boundary survey,"Survey, soil & foundation",Planned service — not confirmed operating,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,"Survey, soil & foundation",REMOVE FROM COMMERCIAL PLANNING
Topographic survey,"Survey, soil & foundation",Unsupported until owner confirms delivery model,YES — /topographic-survey-chennai,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Article/FAQ only,Existing page — improve/consolidate,"Survey, soil & foundation",REMOVE FROM COMMERCIAL PLANNING
Contour survey,"Survey, soil & foundation",Unsupported until owner confirms delivery model,YES — /contour-survey-chennai,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Article/FAQ only,Existing page — improve/consolidate,"Survey, soil & foundation",REMOVE FROM COMMERCIAL PLANNING
Total station survey,"Survey, soil & foundation",Unsupported until owner confirms delivery model,YES — /total-station-survey-chennai,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Article/FAQ only,Existing page — improve/consolidate,"Survey, soil & foundation",REMOVE FROM COMMERCIAL PLANNING
DGPS survey,"Survey, soil & foundation",Unsupported until owner confirms delivery model,YES — /dgps-survey-chennai,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Article/FAQ only,Existing page — improve/consolidate,"Survey, soil & foundation",REMOVE FROM COMMERCIAL PLANNING
Drone survey,"Survey, soil & foundation",Unsupported until owner confirms delivery model,YES — /drone-survey-chennai,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Article/FAQ only,Existing page — improve/consolidate,"Survey, soil & foundation",REMOVE FROM COMMERCIAL PLANNING
Construction layout marking,"Survey, soil & foundation",Unsupported until owner confirms delivery model,YES — /construction-layout-marking-chennai,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Article/FAQ only,Existing page — improve/consolidate,"Survey, soil & foundation",REMOVE FROM COMMERCIAL PLANNING
Pile point marking,"Survey, soil & foundation",Unsupported until owner confirms delivery model,YES — /pile-point-marking-chennai,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Article/FAQ only,Existing page — improve/consolidate,"Survey, soil & foundation",REMOVE FROM COMMERCIAL PLANNING
As-built survey,"Survey, soil & foundation",Planned service — not confirmed operating,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,"Survey, soil & foundation",REMOVE FROM COMMERCIAL PLANNING
Soil testing,"Survey, soil & foundation",Unsupported until owner confirms delivery model,YES — /soil-testing-chennai,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Article/FAQ only,Existing page — improve/consolidate,"Survey, soil & foundation",REMOVE FROM COMMERCIAL PLANNING
Soil investigation,"Survey, soil & foundation",Unsupported until owner confirms delivery model,YES — /soil-investigation-chennai,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Article/FAQ only,Existing page — improve/consolidate,"Survey, soil & foundation",REMOVE FROM COMMERCIAL PLANNING
SBC / bore log testing,"Survey, soil & foundation",Planned service — not confirmed operating,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,"Survey, soil & foundation",REMOVE FROM COMMERCIAL PLANNING
Plate load test,"Survey, soil & foundation",Unsupported until owner confirms delivery model,YES — /plate-load-test-chennai,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Article/FAQ only,Existing page — improve/consolidate,"Survey, soil & foundation",REMOVE FROM COMMERCIAL PLANNING
Pile foundation coordination,"Survey, soil & foundation",Partner-coordinated service,YES — /pile-foundation-contractors-chennai,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,CONDITIONAL — owner confirmation,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,Existing page — improve/consolidate,"Survey, soil & foundation",RETAIN — pending owner confirmation
Bored cast-in-situ piling,"Survey, soil & foundation",Unsupported until owner confirms delivery model,YES — /bored-cast-in-situ-piles-chennai,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Article/FAQ only,Existing page — improve/consolidate,"Survey, soil & foundation",REMOVE FROM COMMERCIAL PLANNING
DMC piling,"Survey, soil & foundation",Unsupported until owner confirms delivery model,YES — /dmc-piling-contractors-chennai,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Article/FAQ only,Existing page — improve/consolidate,"Survey, soil & foundation",REMOVE FROM COMMERCIAL PLANNING
Micro piling,"Survey, soil & foundation",Unsupported until owner confirms delivery model,YES — /micro-piling-contractors-chennai,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Article/FAQ only,Existing page — improve/consolidate,"Survey, soil & foundation",REMOVE FROM COMMERCIAL PLANNING
Pile load test,"Survey, soil & foundation",Unsupported until owner confirms delivery model,YES — /pile-load-test-chennai,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Article/FAQ only,Existing page — improve/consolidate,"Survey, soil & foundation",REMOVE FROM COMMERCIAL PLANNING
Pile integrity test,"Survey, soil & foundation",Unsupported until owner confirms delivery model,YES — /pile-integrity-test-chennai,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Article/FAQ only,Existing page — improve/consolidate,"Survey, soil & foundation",REMOVE FROM COMMERCIAL PLANNING
Dynamic pile load test,"Survey, soil & foundation",Unsupported until owner confirms delivery model,YES — /dynamic-pile-load-test-chennai,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Article/FAQ only,Existing page — improve/consolidate,"Survey, soil & foundation",REMOVE FROM COMMERCIAL PLANNING
Home renovation,"Renovation, interiors & maintenance",Unsupported until owner confirms delivery model,YES — /renovation-contractors-chennai,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Article/FAQ only,Existing page — improve/consolidate,"Renovation, interiors & maintenance",REMOVE FROM COMMERCIAL PLANNING
House renovation,"Renovation, interiors & maintenance",Unsupported until owner confirms delivery model,YES — /renovation-contractors-chennai,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Article/FAQ only,Existing page — improve/consolidate,"Renovation, interiors & maintenance",REMOVE FROM COMMERCIAL PLANNING
Apartment renovation,"Renovation, interiors & maintenance",Unsupported until owner confirms delivery model,YES — /renovation-contractors-chennai,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Article/FAQ only,Existing page — improve/consolidate,"Renovation, interiors & maintenance",REMOVE FROM COMMERCIAL PLANNING
Villa renovation,"Renovation, interiors & maintenance",Unsupported until owner confirms delivery model,YES — /renovation-contractors-chennai,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Article/FAQ only,Existing page — improve/consolidate,"Renovation, interiors & maintenance",REMOVE FROM COMMERCIAL PLANNING
Office renovation,"Renovation, interiors & maintenance",Unsupported until owner confirms delivery model,YES — /renovation-contractors-chennai,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Article/FAQ only,Existing page — improve/consolidate,"Renovation, interiors & maintenance",REMOVE FROM COMMERCIAL PLANNING
Commercial renovation,"Renovation, interiors & maintenance",Unsupported until owner confirms delivery model,YES — /renovation-contractors-chennai,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Article/FAQ only,Existing page — improve/consolidate,"Renovation, interiors & maintenance",REMOVE FROM COMMERCIAL PLANNING
Old house renovation,"Renovation, interiors & maintenance",Unsupported until owner confirms delivery model,YES — /renovation-contractors-chennai,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Article/FAQ only,Existing page — improve/consolidate,"Renovation, interiors & maintenance",REMOVE FROM COMMERCIAL PLANNING
Structural renovation,"Renovation, interiors & maintenance",Unsupported until owner confirms delivery model,YES — /renovation-contractors-chennai,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Article/FAQ only,Existing page — improve/consolidate,"Renovation, interiors & maintenance",REMOVE FROM COMMERCIAL PLANNING
Kitchen renovation,"Renovation, interiors & maintenance",Unsupported until owner confirms delivery model,YES — /renovation-contractors-chennai,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Article/FAQ only,Existing page — improve/consolidate,"Renovation, interiors & maintenance",REMOVE FROM COMMERCIAL PLANNING
Bathroom renovation,"Renovation, interiors & maintenance",Unsupported until owner confirms delivery model,YES — /renovation-contractors-chennai,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Article/FAQ only,Existing page — improve/consolidate,"Renovation, interiors & maintenance",REMOVE FROM COMMERCIAL PLANNING
Interior design coordination,"Renovation, interiors & maintenance",Partner-coordinated service,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,CONDITIONAL — owner confirmation,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,"Renovation, interiors & maintenance",RETAIN — pending owner confirmation
Modular kitchen coordination,"Renovation, interiors & maintenance",Partner-coordinated service,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,CONDITIONAL — owner confirmation,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,"Renovation, interiors & maintenance",RETAIN — pending owner confirmation
False ceiling / painting coordination,"Renovation, interiors & maintenance",Partner-coordinated service,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,CONDITIONAL — owner confirmation,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,"Renovation, interiors & maintenance",RETAIN — pending owner confirmation
Waterproofing coordination,"Renovation, interiors & maintenance",Partner-coordinated service,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,CONDITIONAL — owner confirmation,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,"Renovation, interiors & maintenance",RETAIN — pending owner confirmation
Terrace waterproofing,"Renovation, interiors & maintenance",Planned service — not confirmed operating,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,"Renovation, interiors & maintenance",REMOVE FROM COMMERCIAL PLANNING
Bathroom waterproofing,"Renovation, interiors & maintenance",Planned service — not confirmed operating,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,"Renovation, interiors & maintenance",REMOVE FROM COMMERCIAL PLANNING
Building maintenance,"Renovation, interiors & maintenance",Planned service — not confirmed operating,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,"Renovation, interiors & maintenance",REMOVE FROM COMMERCIAL PLANNING
Facade repair,"Renovation, interiors & maintenance",Planned service — not confirmed operating,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,"Renovation, interiors & maintenance",REMOVE FROM COMMERCIAL PLANNING
Rent-ready property improvement,"Renovation, interiors & maintenance",Planned service — not confirmed operating,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,"Renovation, interiors & maintenance",REMOVE FROM COMMERCIAL PLANNING
Pre-sale property renovation,"Renovation, interiors & maintenance",Unsupported until owner confirms delivery model,YES — /renovation-contractors-chennai,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Article/FAQ only,Existing page — improve/consolidate,"Renovation, interiors & maintenance",REMOVE FROM COMMERCIAL PLANNING
Post-purchase renovation,"Renovation, interiors & maintenance",Unsupported until owner confirms delivery model,YES — /renovation-contractors-chennai,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Article/FAQ only,Existing page — improve/consolidate,"Renovation, interiors & maintenance",REMOVE FROM COMMERCIAL PLANNING
PEB building,Specialist construction & systems,Partner-coordinated service,YES — /peb-building-contractors-chennai,NOT_OBSERVED — no operating workflow evidence available in this environment,YES — must state referral vs delivery,Buildogram,CONDITIONAL — owner confirmation,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,Existing page — improve/consolidate,Specialist construction & systems,RETAIN — pending owner confirmation
Steel construction,Specialist construction & systems,Partner-coordinated service,YES — /steel-construction-chennai,NOT_OBSERVED — no operating workflow evidence available in this environment,YES — must state referral vs delivery,Buildogram,CONDITIONAL — owner confirmation,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,Existing page — improve/consolidate,Specialist construction & systems,RETAIN — pending owner confirmation
Steel fabrication vetting,Specialist construction & systems,Partner-coordinated service,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES — must state referral vs delivery,Buildogram,CONDITIONAL — owner confirmation,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,Specialist construction & systems,RETAIN — pending owner confirmation
Industrial shed,Specialist construction & systems,Partner-coordinated service,YES — /industrial-shed-construction-chennai,NOT_OBSERVED — no operating workflow evidence available in this environment,YES — must state referral vs delivery,Buildogram,CONDITIONAL — owner confirmation,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,Existing page — improve/consolidate,Specialist construction & systems,RETAIN — pending owner confirmation
Warehouse shed,Specialist construction & systems,Partner-coordinated service,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES — must state referral vs delivery,Buildogram,CONDITIONAL — owner confirmation,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,Specialist construction & systems,RETAIN — pending owner confirmation
Roofing systems,Specialist construction & systems,Partner-coordinated service,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES — must state referral vs delivery,Buildogram,CONDITIONAL — owner confirmation,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,Specialist construction & systems,RETAIN — pending owner confirmation
Structural glazing,Specialist construction & systems,Partner-coordinated service,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES — must state referral vs delivery,Buildogram,CONDITIONAL — owner confirmation,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,Specialist construction & systems,RETAIN — pending owner confirmation
UPVC / aluminium windows,Specialist construction & systems,Partner-coordinated service,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES — must state referral vs delivery,Buildogram,CONDITIONAL — owner confirmation,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,Specialist construction & systems,RETAIN — pending owner confirmation
Lift / elevator coordination,Specialist construction & systems,Partner-coordinated service,YES — /partners/elevators,NOT_OBSERVED — no operating workflow evidence available in this environment,YES — must state referral vs delivery,Buildogram,CONDITIONAL — owner confirmation,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,Existing page — improve/consolidate,Specialist construction & systems,RETAIN — pending owner confirmation
Solar installation coordination,Specialist construction & systems,Partner-coordinated service,YES — /partners/solar,NOT_OBSERVED — no operating workflow evidence available in this environment,YES — must state referral vs delivery,Buildogram,CONDITIONAL — owner confirmation,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,Existing page — improve/consolidate,Specialist construction & systems,RETAIN — pending owner confirmation
Home automation coordination,Specialist construction & systems,Partner-coordinated service,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES — must state referral vs delivery,Buildogram,CONDITIONAL — owner confirmation,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,Specialist construction & systems,RETAIN — pending owner confirmation
CCTV / security coordination,Specialist construction & systems,Partner-coordinated service,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES — must state referral vs delivery,Buildogram,CONDITIONAL — owner confirmation,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,Specialist construction & systems,RETAIN — pending owner confirmation
Fire-fighting system coordination,Specialist construction & systems,Partner-coordinated service,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES — must state referral vs delivery,Buildogram,CONDITIONAL — owner confirmation,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,Specialist construction & systems,RETAIN — pending owner confirmation
HVAC coordination,Specialist construction & systems,Partner-coordinated service,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES — must state referral vs delivery,Buildogram,CONDITIONAL — owner confirmation,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,Specialist construction & systems,RETAIN — pending owner confirmation
Electrical contracting coordination,Specialist construction & systems,Partner-coordinated service,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES — must state referral vs delivery,Buildogram,CONDITIONAL — owner confirmation,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,Specialist construction & systems,RETAIN — pending owner confirmation
Plumbing contracting coordination,Specialist construction & systems,Partner-coordinated service,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES — must state referral vs delivery,Buildogram,CONDITIONAL — owner confirmation,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,Specialist construction & systems,RETAIN — pending owner confirmation
STP / water treatment coordination,Specialist construction & systems,Partner-coordinated service,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES — must state referral vs delivery,Buildogram,CONDITIONAL — owner confirmation,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,Specialist construction & systems,RETAIN — pending owner confirmation
Rainwater harvesting,Specialist construction & systems,Partner-coordinated service,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES — must state referral vs delivery,Buildogram,CONDITIONAL — owner confirmation,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,Specialist construction & systems,RETAIN — pending owner confirmation
Compound wall construction,Specialist construction & systems,Partner-coordinated service,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES — must state referral vs delivery,Buildogram,CONDITIONAL — owner confirmation,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,Specialist construction & systems,RETAIN — pending owner confirmation
Demolition coordination,Specialist construction & systems,Partner-coordinated service,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES — must state referral vs delivery,Buildogram,CONDITIONAL — owner confirmation,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,Specialist construction & systems,RETAIN — pending owner confirmation
Landscaping coordination,Specialist construction & systems,Partner-coordinated service,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES — must state referral vs delivery,Buildogram,CONDITIONAL — owner confirmation,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,Specialist construction & systems,RETAIN — pending owner confirmation
Builders directory,Professional discovery,Professional-directory category,YES — /partners/builders,NOT_OBSERVED — no operating workflow evidence available in this environment,YES — verification procedure,Buildogram,CONDITIONAL — directory data quality,YES,Article/FAQ only,Existing page — improve/consolidate,Professional discovery,RETAIN — pending owner confirmation
Contractors directory,Professional discovery,Professional-directory category,YES — /partners/contractors,NOT_OBSERVED — no operating workflow evidence available in this environment,YES — verification procedure,Buildogram,CONDITIONAL — directory data quality,YES,Article/FAQ only,Existing page — improve/consolidate,Professional discovery,RETAIN — pending owner confirmation
Architects directory,Professional discovery,Professional-directory category,YES — /partners/architects,NOT_OBSERVED — no operating workflow evidence available in this environment,YES — verification procedure,Buildogram,CONDITIONAL — directory data quality,YES,Article/FAQ only,Existing page — improve/consolidate,Professional discovery,RETAIN — pending owner confirmation
Structural engineers directory,Professional discovery,Professional-directory category,YES — /partners/directory,NOT_OBSERVED — no operating workflow evidence available in this environment,YES — verification procedure,Buildogram,CONDITIONAL — directory data quality,YES,Article/FAQ only,Existing page — improve/consolidate,Professional discovery,RETAIN — pending owner confirmation
Surveyors directory,Professional discovery,Professional-directory category,YES — /partners/directory,NOT_OBSERVED — no operating workflow evidence available in this environment,YES — verification procedure,Buildogram,CONDITIONAL — directory data quality,YES,Article/FAQ only,Existing page — improve/consolidate,Professional discovery,RETAIN — pending owner confirmation
NDT labs directory,Professional discovery,Professional-directory category,YES — /partners/directory,NOT_OBSERVED — no operating workflow evidence available in this environment,YES — verification procedure,Buildogram,CONDITIONAL — directory data quality,YES,Article/FAQ only,Existing page — improve/consolidate,Professional discovery,RETAIN — pending owner confirmation
Piling contractors directory,Professional discovery,Professional-directory category,YES — /partners/directory,NOT_OBSERVED — no operating workflow evidence available in this environment,YES — verification procedure,Buildogram,CONDITIONAL — directory data quality,YES,Article/FAQ only,Existing page — improve/consolidate,Professional discovery,RETAIN — pending owner confirmation
Material suppliers directory,Professional discovery,Professional-directory category,YES — /partners/suppliers,NOT_OBSERVED — no operating workflow evidence available in this environment,YES — verification procedure,Buildogram,CONDITIONAL — directory data quality,YES,Article/FAQ only,Existing page — improve/consolidate,Professional discovery,RETAIN — pending owner confirmation
Interior designers directory,Professional discovery,Professional-directory category,YES — /partners/interiors,NOT_OBSERVED — no operating workflow evidence available in this environment,YES — verification procedure,Buildogram,CONDITIONAL — directory data quality,YES,Article/FAQ only,Existing page — improve/consolidate,Professional discovery,RETAIN — pending owner confirmation
Waterproofing vendors directory,Professional discovery,Professional-directory category,YES — /partners/waterproofing,NOT_OBSERVED — no operating workflow evidence available in this environment,YES — verification procedure,Buildogram,CONDITIONAL — directory data quality,YES,Article/FAQ only,Existing page — improve/consolidate,Professional discovery,RETAIN — pending owner confirmation
Solar vendors directory,Professional discovery,Professional-directory category,YES — /partners/solar,NOT_OBSERVED — no operating workflow evidence available in this environment,YES — verification procedure,Buildogram,CONDITIONAL — directory data quality,YES,Article/FAQ only,Existing page — improve/consolidate,Professional discovery,RETAIN — pending owner confirmation
Elevator vendors directory,Professional discovery,Professional-directory category,YES — /partners/elevators,NOT_OBSERVED — no operating workflow evidence available in this environment,YES — verification procedure,Buildogram,CONDITIONAL — directory data quality,YES,Article/FAQ only,Existing page — improve/consolidate,Professional discovery,RETAIN — pending owner confirmation
Construction cost estimator,Tools & calculators,Direct Buildogram service (software tool),YES — /cost-estimator,NOT_OBSERVED — no operating workflow evidence available in this environment,NO (tool exists) / YES for outputs accuracy,Buildogram,CONDITIONAL — owner confirmation,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,Existing page — improve/consolidate,Tools & calculators,RETAIN — pending owner confirmation
AI construction cost estimator,Tools & calculators,Direct Buildogram service (software tool),YES — /ai-construction-cost-estimator,NOT_OBSERVED — no operating workflow evidence available in this environment,NO (tool exists) / YES for outputs accuracy,Buildogram,CONDITIONAL — owner confirmation,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,Existing page — improve/consolidate,Tools & calculators,RETAIN — pending owner confirmation
BOQ calculator,Tools & calculators,Direct Buildogram service (software tool),YES — /boq-calculator,NOT_OBSERVED — no operating workflow evidence available in this environment,NO (tool exists) / YES for outputs accuracy,Buildogram,CONDITIONAL — owner confirmation,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,Existing page — improve/consolidate,Tools & calculators,RETAIN — pending owner confirmation
AI BOQ checker,Tools & calculators,Direct Buildogram service (software tool),YES — /ai-boq-checker,NOT_OBSERVED — no operating workflow evidence available in this environment,NO (tool exists) / YES for outputs accuracy,Buildogram,CONDITIONAL — owner confirmation,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,Existing page — improve/consolidate,Tools & calculators,RETAIN — pending owner confirmation
AI contractor quote analyzer,Tools & calculators,Direct Buildogram service (software tool),YES — /ai-contractor-quote-analyzer,NOT_OBSERVED — no operating workflow evidence available in this environment,NO (tool exists) / YES for outputs accuracy,Buildogram,CONDITIONAL — owner confirmation,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,Existing page — improve/consolidate,Tools & calculators,RETAIN — pending owner confirmation
AI material estimator,Tools & calculators,Direct Buildogram service (software tool),YES — /ai-material-estimator,NOT_OBSERVED — no operating workflow evidence available in this environment,NO (tool exists) / YES for outputs accuracy,Buildogram,CONDITIONAL — owner confirmation,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,Existing page — improve/consolidate,Tools & calculators,RETAIN — pending owner confirmation
AI floor plan creator,Tools & calculators,Direct Buildogram service (software tool),YES — /ai-floor-plan-creator,NOT_OBSERVED — no operating workflow evidence available in this environment,NO (tool exists) / YES for outputs accuracy,Buildogram,CONDITIONAL — owner confirmation,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,Existing page — improve/consolidate,Tools & calculators,RETAIN — pending owner confirmation
AI structural audit intake,Tools & calculators,Direct Buildogram service (software tool),YES — /ai-structural-audit-intake,NOT_OBSERVED — no operating workflow evidence available in this environment,NO (tool exists) / YES for outputs accuracy,Buildogram,CONDITIONAL — owner confirmation,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,Existing page — improve/consolidate,Tools & calculators,RETAIN — pending owner confirmation
AI survey requirement builder,Tools & calculators,Direct Buildogram service (software tool),YES — /ai-survey-requirement-builder,NOT_OBSERVED — no operating workflow evidence available in this environment,NO (tool exists) / YES for outputs accuracy,Buildogram,CONDITIONAL — owner confirmation,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,Existing page — improve/consolidate,Tools & calculators,RETAIN — pending owner confirmation
